review,place,reviewer,taste,price,location,service,mood,rating,alpha,region,taste_new,price_new,location_new,service_new,mood_new
함덕 해수욕장 가까이 있다 에서 얕다 해안가 파도 밀려오다 경치 국적 해변 종려나무 풍경 감상 하다 제주 에서만 있다 디저트 음료 맛있다 좋다 스타벅스 함덕 해수욕장 에서 좋다 이다 함덕 바다 바라보다 좋다 커피 음료 좋다 스타벅스,스타벅스 - 제주함덕점,Nama90,0,0,9.4063,0,8.9937,4.92,4.75,4,2.38 ,2.38 ,48.65 ,2.38 ,46.62 
몽상 의외 마치 빌딩 같다 유리 인데 사진 찍다 사람 정말 너무 많다 바다 바라보다 으로는 사람 정말 너무 많다 그래서 뒤쪽 으로 오다 보다 뒤쪽 사람 없다 폐허 에의 자르다 세우다 권지용 대표 직접 코디 건지다 그냥 내다 버리다 건지다 모르다 하지만 이유 없이 멋있다 영수증 대표 권지용 이라고 써다 버리다 가져오다 사장 이름 부터 건물 메뉴 같다 테일 까지 정말 이다 카페 브금 사운드클라우드 에서 흘러나오다 찍다 순간 음악 이다 매장 너무 많다 계시다 서치 않다 조심하다 야합 봄날 에서 돌다 올라가다 길이 넓다 않다 지하철 처럼 붐비다 않다 조용하다 분위기 아니다 음료 예쁘다 만족하다 다른 분들 리뷰 읽다 기대 하다 않다 가다 그래서 인지 딱하다 맛없다 생각 들다 않다 슬러시 먹다 색깔 예쁘다 여기 서다 셀피 찍다 좋다 까지 구경 해보다 좋다 같다 디테일 놓치다 가다 없다,몽상,JessicaL82041,5.4365,7.3121,8.3265,11.16,10.0601,4.13,8.08,2,26.49 ,34.24 ,38.43 ,50.13 ,45.59 
애월 에서 유명하다 카페 있다 만난 여기 가다 좋다 예쁘다 꾸미다 카페 예쁘다 커피 너무 나다 사람 많다 이지만 그래도 정도 차다 만하 바다 바라보다 마시다 커피 최고다,봄날,유신 김,0,0,7.4502,0,7.3136,5.59,8.08,2,4.04 ,4.04 ,45.69 ,4.04 ,44.92 
서귀포 대정 해안가 위치 카페 이다 매우 크다 건물 주변 크다 건물 이따 없다 쉬다 찾다 커피 및차 함께 여러가지 디저트 함께 판매 그다지 비싸다 않다 가격 괜찮다 보여주다 창밖 으로 보이다 서귀포 바다 바라보다 한잔 마시기 좋다 장소 이다,미쁜제과,gomdolpooh,0.8555,2.6549,7.4425,2.6033,8.1366,5.28,1.67,2,5.35 ,14.85 ,40.13 ,14.58 ,43.80 
스타벅스 자리 사실 예전 부터 여러 가게 들어오다 망하다 자리 인데 스타벅스 들어오다 자리 잡다 위치 좋다 고층 자리다 넓다 편하다 다단 때때로 사람 너무 많다 있다 위치 좋다 보다 어쩔 없다 보다 지금 에는 제주도 곳곳 커피숍 많다 까지는 애매하다 커피 체인점 그러하다 체인점 보다도 커피숍 많다 스타벅스 생기 여러 점포 생기다 로는 그래도 편하다 갈다 많이 생기다 다행 이다 스타벅스 너무나 많다 보다 익숙해지다 있다 가맹 내주다 않다 전부 직영 으로 하다 정책 때문 인지 고르다 유지 되다 좋다 커피전문점 이라고 보다,스타벅스 제주중문점,Tour807744,0,0.8162,5.6707,2.6843,7.1363,5.48,8.46,3,4.23 ,8.70 ,35.31 ,18.94 ,43.34 
화이트하우스 호텔 위치 하다 안도 바로 있다 찾아가다 도편 하고 전망 너무 좋다 해안 도로 달리다 잠시 들다 커피한잔 하다 좋다 위치 이고 드라이브스루 운영 이라서 더욱이 용하다 편리하다 이다 시간 되다 주차장 주차 하다 커피 테이크아웃 하다 바로 해변 에서 커피한잔 면서 바다 바라보다 기분 상쾌하다 너무 좋다,스타벅스 제주용담DT점,jjoggo82,0,0,7.6277,0,7.2007,5.54,6.33,4,3.17 ,3.17 ,45.42 ,3.17 ,43.06 
음료 메뉴 커피 에는 다른 음료 전혀 없다 예외 없다 메뉴 커피 마시다 일행 있다 테이크아웃 만해 되다 커피 너무 맛있다 인테리어 독특하다 우리 일행 커피 마시다 사람 있다 대신 주문 하다 음료 무조건 원수 맞다 같이 주문 하다 되다 ㅠㅠ,풍림다방,mijung1004,0,0,8.9399,0.822,9.5073,4.08,8.02,1,4.01 ,4.01 ,40.48 ,7.36 ,42.80 
자주 지나다 다니다 갈치 구이 의원 라는 이번 여행 되어다 점심 하다 되어다 음식점 깨끗하다 건물 오메 기떡 초콜렛 커피 팔다 카페 운영 되다 고층 음식점 이다 둘이서 가다 갈치 구이 대한 욕싱 많다 얼마나 크다 궁금하다 갈치 구이 선택 하다 기본 반찬 깔끔하다 좋다 오다 나오다 갈치 크기 젓가락 아니다 수저 먹다 야하다 정도 두께 갈치 맛있다 먹다 갈치 구이 배부르다 먹다 점심 이다 식사 고객 카페 에서 초콜렛 주다 올라가다 메기 초콜렛 커피 맛있다 조합 으로 즐기다 갈치 분해 아주 능숙하다 종업원 해주다 먹기 편하다 돌아가다 계속 확인 해면 먹다 방법 대해 친절하다 설명 들어주다 아주 즐겁다 식사 이다 다담 갈다 같다,춘심이네 본점,irxraydoc,2.6628,0.8101,4.6133,5.7415,7.0815,5.39,8.13,3,18.42 ,8.43 ,28.93 ,35.01 ,42.23 
함덕 바다 방문 부터 카페 문도 한기대 아주 크다 카페 에서 바라보다 함덕 바다 모습 매우 아름답다 때문 이다 다다 같다 생각 모양 인지 방문 하다 마다 카페 문도 에는 항상 사람 많다 그래서 카페 가마치 시장 처럼 정신 없다 느낌 받다 베이커리 빨리 품절 되다 때문 한번 먹다 보지 하다 음료 특별하다 없이 무난 하다 굳이 복잡하다 카페 문도 앉다 바라보다 필요없다 이그 음료 테이크아웃 하다 으로나 오다 바라보다 추천,카페 델문도,JEESUNLEE,0.9439,1.6201,11.3099,1.7613,11.5717,3.28,8.37,4,7.28 ,9.50 ,41.28 ,9.96 ,42.14 
처음 은영 때문 가게 되다 이지만 카페 펼쳐지다 바다 바다 충분하다 즐기다 설계 되다 구조 때문 제주도 갈다 마다 방문 되다 카페 사람 많다 아쉽다 기도 지만 고유 먹함 끄다 낭만 느껴지다 곳층 비치 벤치 앉다 풀밭 너머 바다 보다 좋다 고층 유리창 앉다 바다 보다 좋다 엄태웅 작업실 카페 에서나 오다 우측 있다 연결 되다 옥중 들어가다 이쁘다 테이블 의자 내부 풍경 음악 기다 사람 많이 들어가다 없다 여유 로움 느끼다 한잔 하고 오다 좋다 솔직하다 카페 음료 정말 맛있다 하기는 그렇지만 나쁘다 않다 괜찮다 무엇 보다 분위기 때문 인테리어 낭만 때문 자연 때문 자꾸 방문 되다,카페 서연의 집,Hayuco,1.8091,2.486,7.4907,4.1262,7.1326,5.31,8.18,3,13.70 ,17.29 ,43.87 ,26.00 ,41.96 
대리 해변 중산 지역 으로 이전 하다 급하다 말다 아니다 느리다 기다리다 여유 있다 커피 마시다 특히 커다랗다 사장 이세 심하다 드립 움직이다 커피 내리다 장면 보고 있다 여행 여유 떠오르다 하다 커피 아주 맛있다 뒷마당 에서 햇빛 바람 맞다 커피 마시기 좋다 이다 제주 가면 들다 보다,풍림다방,joywoong,0.957,0.8101,6.3495,1.7945,7.3513,5.15,8.02,1,8.94 ,8.18 ,36.71 ,13.25 ,41.87 
함덕 해변 위치 인데 넓다 으로 함덕 해변 보이다 멋지다 예요 주차장 바로 있다 사용 편하다 제주 한정 메뉴 시도 해보다 스벅 간다 매장 가면 좋다 같다,스타벅스 - 제주함덕점,Trip807790,0,0,6.4746,1.8039,7.2963,5.4,4.75,4,2.38 ,2.38 ,37.34 ,12.12 ,41.78 
오다 협업 브루잉 커피 처음 유동 커피 이중섭 박물관 가다 우연히 간판 보고 여기 유동 커피 인가 하다 혹시 나하 마음 방문 유동 커피 맞다 바닷가 카페 달리 착하다 가격 진하다 커피 까지 우연히 방문 하다 너무 만족스럽다,유동커피,gomdolpooh,0,0,6.3035,0,6.4525,5.7,8.14,3,4.07 ,4.07 ,40.00 ,4.07 ,40.85 
카페 에서 보이다 풍경 그림 같다 으로 우도 땅콩 용한 음료 베이커리 매우 맛있다 추천 하다 이다 사람 많다 좋다 풍경 보다 자리다 언제나 만석 이다,블랑로쉐,seongeuny5,0,0,5.5159,1.7613,6.4039,5.55,7.43,1,3.72 ,3.72 ,34.33 ,13.49 ,39.26 
가운 영하 으로 유명하다 몽상 드애월 일단 너무 멋지다 부도 멋지다 그런데 일찍 닫다 저녁 가다 커피 아메리카노 말고는 안되다 하다 라떼 마시다 그런데 사람 너무 많다 같다 날씨 좋다 제주 그냥 커피 테이크아웃 하다 바닷가 에서 말다 그게 최고 추울때 나다 좋다 경치 보다 말다 싶다 가면 좋다 같다,몽상,Passport809655,0,0.8024,7.3734,0,7.3153,4.67,8.08,2,4.04 ,7.79 ,38.47 ,4.04 ,38.20 
프리미엄 베이커리 전문점 이런 이런 고급 스런 빵집 있다 놀라다 호텔 바닷가 으로 펼쳐지다 하지만 뒤쪽 길이 라인 드물다 차선 도로 트럭 빠르다 지나가다 이다 알파벳 으로 쓰이다 한참 들여다보다 읽다 가격 조각 케잌 원작 마늘 바게트 가원 음료 원정 정말 서울 김영모 빵집 능가 같다 시식 하다 직원 가위 들다 원하다 사람 조금씩 자르다 주다 테이블 많다 한쪽 으로 다섯 개정 도로 넓다 직하다 층층 이단 만들다 크다 쿠션 있다 눕다 기도 하고 다리 앉다 도하 공간 있다 놀랍다 제주 근처 호텔 숙소 있다 들다 이다 오전 샌드위치 맛있다,앙뚜아네트,Roving809414,1.8429,0,6.4865,3.4851,6.2387,5.5,7.67,4,13.97 ,3.84 ,39.51 ,23.00 ,38.15 
카페 유리창 으로 보이다 바다 풍경 아름답다 이다 카페 외부 에도 자리 있다 날씨 추다 않다 에서 음료 말다 시간 보내다 좋다 주말 에가 서다 그렇다 사람 많다 자리다 금방 나오다 자리 잡다 어려움 없다 아메리카노 유자 차등 시키다 전부 무난 들어가다 길이 좁다 주차 이동 쉬다 않다 풍경 때문 에라도 한번 오다 좋다 이라 생각,봄날,atreea,0,2.4401,8.4323,1.6391,8.052,4.22,8.08,2,4.04 ,14.34 ,39.62 ,10.96 ,38.02 
우리 이제 까지 신뢰 하다 이드 에의 해이 장소 에서 커피 시험 해보다 권하다 그리고 그것 단지 모든 칼로리 절대 으로가 치가 있다 우리 지방 볶다 커피 늘다 생각 오다 얼굴 이로 고위 있다 관해 물다 헤이즐넛 다른 흥미 있다 작다 조각 함께 커피 어떻다 혼합 하다 관해 우리 에게 설명 하다 시간 가다 절대 커피 맛있다 우리 다음 제주 서귀포 방문 하다 때우다 늘다 돌아오다 이다,유동커피,elainelmy,0.831,0.8077,5.4194,0.9745,6.2854,5.21,8.14,3,8.40 ,8.28 ,32.31 ,9.15 ,36.82 
신라 호텔 에서가 까운 이라 매일 한잔 마시다 매장 넓다 깔끔하다 분위기 좋다 다만 단체 손님 가끔 너무 시끄럽다 아쉽다 ㅎㅎㅎ 커피 좋다 다음 신라 호텔 가게 되다 후식 으로 들르다 같다,스타벅스 제주중문점,Explorer812044,0,1.6138,5.5083,2.5861,6.2724,5.17,8.46,3,4.23 ,12.57 ,32.71 ,17.60 ,36.66 
가족 함께 겨울 문도 가다 바람 너무 불어 밖에 테라스 에서 먹기 힘들다 창밖 으로 보이다 바다 만으로도 충분하다 예쁘다 카페 이다 유명 카페 그렇다 평일 인데 사람 많다 창가 자리 잡기 힘들다 베이커리 유난히 맛있다 보이다 있다 분위기 있다 제주도 신다 면강 추하다,카페 델문도,siosu,0,0,6.4453,0.8196,6.3309,5.1,8.37,4,4.19 ,4.19 ,37.06 ,8.36 ,36.47 
함덕 해수욕장 있다 카페 분위기 좋다 주차공간 넓다 바깥 그리고 지하가 있다 공간 괜찮다 같다 베이커리 음료 팔고 있다 간단하다 즐기다 좋다,카페 델문도,sunka60,0.8555,0.8594,5.4924,1.6616,5.451,5.88,8.37,4,9.22 ,9.24 ,36.48 ,13.96 ,36.24 
함덕 해수욕장 있다 테라스 있다 파도 올라오다 ㅎㅎ 실내 에서 유리 통해 바다 바라보다 말다 매우 좋다 에서 주문 하고 계단 통해 내려오다 넓다 좌석 있다 한층 아래 내려오다 좋다,카페 델문도,jisooshin,0,0,4.6786,0.9417,5.4401,5.75,8.37,4,4.19 ,4.19 ,31.09 ,9.60 ,35.47 
함덕 서우 해변 에가 장눈 띄다 자리 카페 문도 함덕 에서가 장핫 카페 아니다 싶다 내부 자리 넓다 야외 테라스 넓다 바다 가바 코앞 있다 바다 보다 즐기다 카페 아니다 싶다 커피 자다 모르다 이르다 보통 이다,카페 델문도,Pioneer809650,0,2.4521,8.3574,0,8.0531,3.88,8.37,4,4.19 ,13.70 ,36.61 ,4.19 ,35.43 
스타벅스 우리 에게 친숙하다 커피전문점 이다 커피한잔 말다 깊다 커피 있다 커피 말다 찾다 좋다 중문 스타벅스,스타벅스 제주중문DT점,cjh2312018,0,0,6.5584,0,6.3008,5,7.34,3,3.67 ,3.67 ,36.46 ,3.67 ,35.17 
솔직하다 커피 관심 없다 편이 모르다 웰시코기 바다 전망 끝내주다 마음 들다 혼잡하다 주차장 간신히 주차 고대 기표 받다 대기실 있다 여기 음료 마시다 번호 뜨다 자리 안내 해주다 직원 덥다 열심히 이다 모습 멋지다 보이다 코기 마리 인데 더위 지치다 헫헥거렸 다시 에서 쉬다 좋다,봄날,FrequentFlier739271,0,0.8503,7.3493,2.6985,7.4326,4.18,8.08,2,4.04 ,7.59 ,34.76 ,15.32 ,35.11 
함덕 있다 카페 함덕 해변 바로 있다 해변 바다 보이다 전망 이라 그저 커피 말다 바라보다 가치 있다 다만 너무 시끄럽다 사람 많다 평일 시간대 오다 좋다 않다 하다 커피 평범하다,카페 델문도,Adventure694963,0,1.6195,8.427,1.6987,8.9839,3.42,8.37,4,4.19 ,9.72 ,33.01 ,9.99 ,34.91 
카페 에서 사진 찍기 좋다 다만 카페 내부 음악 시끄럽다 사람 많다 오랜 시간 동안 앉다 기다 불편하다 주변 바다 있다 예쁘다 카페 많다 한번 구경 하다 좋다 장소 이다 커피 보통 이에요,몽상,maxizn2017,0,1.6352,6.5493,0.8792,7.0367,4.35,8.08,2,4.04 ,11.15 ,32.53 ,7.86 ,34.65 
제주도 여행 하다 살다 호텔 바로 있다 네트 라는 카페 이다 에서 되게 넓다 화려 해보다 방문 하다 인테리어 엄청 예쁘다 종류 다양하다 커피 그라인더 도보이 고향이 너무 좋다 타르트 라떼 추천 하다,앙뚜아네트,lavii2204,0,0,5.5526,0.822,5.4683,5.63,7.67,4,3.84 ,3.84 ,35.10 ,8.46 ,34.62 
서귀포 월드컵경기 장이 가까이 있다 주차 장이 넓다 편이 고층 모두 매장 넓다 쾌적하다 건물 독특하다 어느 스타벅스 매장 보다 고모 크다 청결하다 관리 자다 곱다 직원 분들 엄청 친절하다,스타벅스 서귀포DT점,Nama90,0,0.8503,5.4281,5.3863,5.6051,5.63,5.54,3,2.77 ,7.56 ,33.33 ,33.09 ,34.33 
음료 그런 데뷰 예쁘다 테라스 앉다 소리 들다 음료 말다 내부 인테리어 정겹다 따뜻하다 느낌 이에요,카페 서연의 집,Odyssey809706,0,0,6.4202,0.822,6.525,4.63,8.18,3,4.09 ,4.09 ,33.82 ,7.90 ,34.30 
꼬숩 요일 까페 에서 마시다 커피 자체 달라 너무나 맛있다 커피 말다 듯해 까페 라떼 마시다 보다 까지 마시다 보다 까페 라떼 넘다 다르다 ㅠㅠ,유동커피,jiyeonp905,0,0,5.4325,0,5.6147,5.38,8.14,3,4.07 ,4.07 ,33.30 ,4.07 ,34.28 
마침 비다 날다 그런 커피한잔 하다 창밖 보다 스벅 이보 여서 바로 들어가다 ㅋㅋㅋ 매장 넓다 고층 올라가다 쉬다 딱좋다 주차장 은별 로안 넓다 기억,스타벅스 성산일출봉점,dongwookl28,0,0.8649,5.4915,1.6955,5.5311,5.5,7.5,1,3.75 ,8.51 ,33.95 ,13.08 ,34.17 
건축학개론 촬영 이다 카페 개조 한서연 카페 방문 하다 위해 미리 근처 바다 처음 보다 지금껏 보다 오다 제주 바다 와는 또다른 경치 보다 너무 좋다 한적하다 조용하다 마을 자리 잡다 마음 평온하다 느낌 이다 카페 사람 많다 커피 테이크아웃 하다 근처 안길 걸다 너무 좋다 산책 코스 라고 생각 이듭 커피 뛰어나다 않다 근처 예쁘다 경치 돌아보다 에서 높다 점수 주다,카페 서연의 집,MIN221,0,2.4438,6.5057,1.6294,6.3192,4.72,8.18,3,4.09 ,15.62 ,34.80 ,11.78 ,33.92 
성산일출봉 바로 있다 성산일출봉 오르다 기전 테이크아웃 으로 커피한잔 마시다 좋다 환상 전망 에서 창가 자리 앉다 창밖 풍경 바라보다 시간 가다 모르다 성산일출봉 여행 시작 언제 라도 자다 어울리다 카페 이다 거기 스타벅스커피 익숙하다 이기 만족스럽다 웅장 자연 맘껏 뽐내다 성산일출봉 아름 오랫동안 간직 하다 이다,스타벅스 성산일출봉점,BackPacker810127,0,0,5.7161,0,5.4599,5.5,7.5,1,3.75 ,3.75 ,35.19 ,3.75 ,33.78 
쇠소깍 근처 있다 분위기 좋다 카페 예요 건물 붉다 은색 벽돌 지다 들어가다 천장 높다 따다 나무 지다 카페 예요 사람 많다 자리 잡다 시간 걸리다 좋다 창가 앉다 이다 으로 되어다 귤나무 보다 커피 먹다 커피 좋다 느껴지다 분위기 좋다 커피 좋다 추천 하다,테라로사 커피,Relax807885,1.8743,0.8199,5.4941,0.8099,5.4577,5.44,8.02,3,14.21 ,8.47 ,33.90 ,8.42 ,33.70 
평리 있다 카페 인데 카페 좋다 주변 풍경 너무 예쁘다 조용하다 에서 커피 말다 주변 산책 하고 싶다 추천 드리다,카페루시아,wind2816,0,0,6.5563,0,6.3277,4.84,5.85,3,2.93 ,2.93 ,34.66 ,2.93 ,33.55 
공항 에서 가깝다 담하다 도로 무지개 도로 바로 잇다 엄청 크다 카페 루프 엘리베이터 있다 베이커리 커피 많다 전용 주차장 있다 통창 으로 바다 바라보다 즐기다 좋다 공간,카페 나모나모,real_lamu,0,0,5.5442,0.8196,5.4475,5.8,2.86,4,1.43 ,1.43 ,33.59 ,6.18 ,33.03 
커피 체인 서울 매우 다른 스타벅스 그렇게 크다 머셜 커피 보다 좋다 그중 에서 여의도 사무실 건물 객실 아주 넓다 편안하다 커피샵 카페 방문 함안 피칸 파이 파이크 러스트 없다 친절하다 좋다,테라로사 커피,chiffonbear,0,0,5.5176,1.8796,6.4021,4.5,8.02,3,4.01 ,4.01 ,28.84 ,12.47 ,32.82 
명진 전복 유명하다 고해 제주도 가다 방문 하다 예약 하고 가다 굉장하다 많이 기다리다 시간 정도 기다리다 기다리다 때옆 건물 옥상 올라가다 의자 앉다 바다 바라보다 기다리다 근처 카페 많다 시간 동안 카페 에가 보다 나쁘다 않다 같다 기다리다 보다 가게 직원 전화 연락 줍다 그때 가게 가시 되다 가게 들어가다 바다 으로 유리 창문 되어다 요정 정말 너무 예쁘다 바다 바라보다 먹다 있다 정말 좋다 하지만 사람 많다 서북 거리 감수 하다 야합 함께 고등어 구이 줍다 고등어 구이 마리 이다 뜨겁다 같이 주다 돌솥밥 넣다 숭늉 처럼 먹다 있다 모든 정말 좋다 가게 고등어 굽다 냄새 조금 많다 그래도 직원 분들 친절하다 다음 가다 이에요 같다 이간 친구 제주도 다른 가게 에서도 전복 먹다 보다 가게 제일 맛있다 하다 가격 나가요 전복 먹다 이다,명진전복,absolute2017,2.8606,1.685,5.7324,6.9881,5.363,5.22,8.76,1,19.31 ,13.18 ,34.30 ,40.86 ,32.37 
